id,title,release_year,release_date,vote_average,popularity,vote_count
11859,Fair Game (1995),1995,1995-11-03,4.1,5.912223,54.0
28387,Kicking and Screaming,1995,1995-10-06,7.0,3.367276,36.0
48750,Les Miserables (1995),1995,1995-03-22,6.6,1.479446,8.0
20927,Bed of Roses (1996),1996,1996-01-26,5.1,10.412194,27.0
36929,Big Bully,1996,1996-01-26,3.9,2.936443,16.0
9102,Screamers (1995),1995,1995-09-08,6.1,12.758848,154.0
124626,Nico Icon,1995,1995-02-18,7.3,0.133893,3.0
27526,The Crossing Guard,1995,1995-11-15,6.1,5.756462,74.0
9623,The Juror,1996,1996-02-02,5.5,6.010579,91.0
46785,The White Balloon,1995,1995-01-01,7.5,1.196256,20.0
400,Things to Do in Denver When You're Dead,1995,1995-12-01,6.7,4.486179,87.0
880,Antonia's Line,1995,1995-09-12,7.2,2.030174,26.0
146599,Once Upon a Time... When We Were Colored,1996,1996-01-26,4.5,0.252287,2.0
188588,Last Summer in the Hamptons,1995,1995-11-22,0.0,0.531159,0.0
8447,Angels and Insects,1995,1995-09-10,6.3,2.15166,17.0
10534,White Squall,1996,1996-02-02,6.3,9.568604,86.0
17414,Dunston Checks In,1996,1996-01-12,5.1,4.814825,59.0
13997,Black Sheep (1996),1996,1996-02-01,6.0,8.963037,124.0
2086,Nick of Time,1995,1995-11-22,6.1,6.848591,190.0
61548,The Journey of August King,1995,1995-09-14,6.7,0.411424,3.0
9095,Mary Reilly,1996,1996-02-23,5.7,12.866139,77.0
12158,Vampire in Brooklyn,1995,1995-10-26,4.5,9.071127,113.0
9283,Beautiful Girls,1996,1996-02-09,6.6,4.670562,103.0
9208,Broken Arrow (1996),1996,1996-02-09,5.7,14.957626,459.0
40154,A Midwinter's Tale,1995,1995-12-01,7.5,0.513391,6.0
406,La Haine,1995,1995-05-31,7.9,12.108196,695.0
45549,Shopping,1994,1994-12-06,5.6,2.657647,13.0
63076,Heidi Fleiss: Hollywood Madam,1995,1995-12-27,6.8,0.638211,4.0
11062,City Hall,1996,1996-02-16,6.0,4.807223,67.0
13685,Bottle Rocket,1996,1996-02-21,6.8,6.904831,285.0
47475,Mr. Wrong,1996,1996-02-16,3.3,3.329264,16.0
2045,Unforgettable (1996),1996,1996-02-23,5.3,2.464425,22.0
9614,Happy Gilmore,1996,1996-02-16,6.5,9.592265,767.0
688,The Bridges of Madison County,1995,1995-05-28,7.3,5.951077,397.0
11907,Nobody Loves Me,1994,1994-11-07,5.1,1.015068,5.0
10874,Muppet Treasure Island,1996,1996-02-16,6.5,6.902423,93.0
89333,Catwalk,1995,1995-12-08,7.0,0.976707,2.0
96357,Headless Body in Topless Bar,1995,1995-05-20,0.0,0.001346,0.0
197,Braveheart,1995,1995-05-24,7.7,20.755149,3404.0
103,Taxi Driver,1976,1976-02-07,8.1,14.092713,2632.0
33542,Rumble in the Bronx,1995,1995-01-30,6.5,12.314278,245.0
43566,Before and After,1996,1996-02-23,5.8,2.938293,37.0
71754,Margaret's Museum,1995,1995-09-13,7.5,0.372697,2.0
43612,Happiness Is in the Field,1995,1995-01-31,7.0,1.254885,23.0
51352,Anne Frank Remembered,1995,1995-06-08,7.3,0.243986,4.0
16934,The Young Poisoner's Handbook,1995,1995-01-20,6.9,6.178497,19.0
10324,If Lucy Fell,1996,1996-03-08,5.4,2.891918,11.0
78406,Steal Big Steal Little,1995,1995-09-29,5.1,1.522412,7.0
55731,Race the Sun,1996,1996-03-22,5.2,1.317878,21.0
32119,The Boys of St. Vincent,1992,1992-12-06,7.0,0.86539,7.0
11066,Boomerang,1992,1992-06-30,5.4,6.506983,139.0
11104,Chungking Express,1994,1994-07-14,7.9,6.778979,249.0
37975,The Star Maker,1995,1995-09-21,6.8,1.702639,29.0
2074,Flirting with Disaster,1996,1996-03-22,6.3,5.579088,66.0
27793,The Neverending Story III: Escape from Fantasia,1994,1994-10-26,4.4,6.252377,105.0
44284,The Silences of the Palace,1994,1994-09-30,4.3,0.406754,3.0
290157,Jupiter's Wife,1995,1995-01-01,0.0,0.001178,0.0
110972,Pie in the Sky (1996),1996,1996-02-09,7.0,0.699066,2.0
32622,Angela,1995,1995-01-01,5.6,2.197439,9.0
73067,Frankie Starlight,1995,1995-11-22,5.4,0.637554,4.0
11863,Jade,1995,1995-10-13,5.1,11.418917,45.0
55475,Nueba Yol,1995,1995-08-16,5.5,0.291021,1.0
124636,Sonic Outlaws,1995,1995-08-01,0.0,0.001838,0.0
9101,Down Periscope,1996,1996-03-01,5.6,5.184977,110.0
123360,From the Journals of Jean Seberg,1995,1995-09-08,6.5,0.276401,2.0
5757,Man of the Year (1995),1995,1995-09-15,3.8,0.540436,2.0
39428,The Neon Bible,1995,1995-08-23,7.2,0.370342,5.0
124639,Target (1995),1995,1995-08-01,0.0,0.001205,0.0
9302,Up Close & Personal,1996,1996-03-01,5.9,3.402749,51.0
11000,The Birdcage,1996,1996-03-08,6.7,6.49968,303.0
249882,Virgin Mary,1995,1995-10-12,7.0,0.918504,2.0
16388,The Brothers McMullen,1995,1995-08-09,6.3,2.039196,23.0
9737,Bad Boys (1995),1995,1995-04-07,6.5,9.262184,1729.0
30765,The Amazing Panda Adventure,1995,1995-08-25,5.0,2.375865,31.0
10474,The Basketball Diaries,1995,1995-04-21,7.2,7.415144,472.0
22279,An Awfully Big Adventure,1995,1995-07-21,6.0,0.922958,11.0
30157,Amateur,1994,1994-08-05,6.5,1.759012,21.0
568,Apollo 13,1995,1995-06-30,7.3,18.761467,1637.0
11780,Rob Roy,1995,1995-04-13,6.5,10.193549,151.0
34996,The Addiction,1995,1995-01-10,6.4,3.137285,46.0
414,Batman Forever,1995,1995-06-16,5.2,13.321354,1529.0
649,Belle de Jour,1967,1967-05-24,7.3,10.142662,163.0
1873,Beyond Rangoon,1995,1995-05-24,6.4,2.04189,21.0
5894,Blue in the Face,1995,1995-09-15,6.8,11.528147,28.0
1775,Canadian Bacon,1995,1995-06-08,5.9,5.391556,57.0
8839,Casper,1995,1995-05-26,6.0,12.812539,1045.0
20649,Clockers,1995,1995-09-15,6.8,4.558992,69.0
10329,Congo,1995,1995-06-09,5.0,7.260574,214.0
8963,Crimson Tide,1995,1995-05-12,7.0,8.657365,508.0
26564,Crumb,1994,1994-09-10,7.6,3.620388,71.0
8068,Desperado,1995,1995-08-25,6.8,6.950458,898.0
8512,Devil in a Blue Dress,1995,1995-09-15,6.3,4.646132,88.0
1572,Die Hard: With a Vengeance,1995,1995-05-19,6.9,15.138855,2094.0
13552,The Doom Generation,1995,1995-10-27,5.6,7.120806,57.0
259209,Feast of July,1995,1995-10-12,0.0,0.523575,0.0
6520,First Knight,1995,1995-07-07,5.9,15.178338,319.0
9073,Free Willy 2 - The Adventure Home,1995,1995-07-19,5.5,7.575098,130.0
10428,Hackers,1995,1995-09-14,6.2,14.810519,406.0
17447,Jeffrey,1995,1995-08-18,6.5,3.196456,19.0
9886,Johnny Mnemonic,1995,1995-05-26,5.5,11.715868,380.0
9482,Judge Dredd,1995,1995-06-30,5.4,8.184815,643.0
19326,Jury Duty,1995,1995-04-12,4.0,3.676921,34.0
9344,Kids,1995,1995-07-28,6.8,4.877872,280.0
9071,Living in Oblivion,1995,1995-01-20,7.2,10.058329,64.0
8973,Lord of Illusions,1995,1995-08-25,5.9,4.102409,87.0
15730,Love & Human Remains,1993,1993-05-20,7.0,0.354014,7.0
47608,Mad Love (1995),1995,1995-05-26,5.5,2.624771,27.0
2293,Mallrats,1995,1995-10-20,6.8,8.25547,400.0
9070,Mighty Morphin Power Rangers: The Movie,1995,1995-06-30,5.2,7.024227,153.0
68274,Moonlight and Valentino,1995,1995-09-29,5.6,1.01115,10.0
48787,Mute Witness,1995,1995-09-28,6.4,2.466066,36.0
34574,Nadja,1994,1994-09-13,5.9,7.720056,12.0
1642,The Net (1995),1995,1995-07-28,5.6,13.304342,359.0
11472,Nine Months,1995,1995-07-12,5.5,8.482834,171.0
36196,Party Girl (1995),1995,1995-06-09,5.8,1.165039,14.0
11980,The Prophecy,1995,1995-09-01,6.4,10.187623,139.0
58372,Reckless (1995),1995,1995-11-17,10.0,0.119713,1.0
32646,Safe (1995),1995,1995-06-23,7.2,8.180047,62.0
10533,The Scarlet Letter (1995),1995,1995-10-13,5.5,6.752119,111.0
56088,The Show (1995),1995,1995-08-25,5.3,0.159596,2.0
10802,Showgirls,1995,1995-09-22,4.9,17.502375,261.0
10149,Smoke,1995,1995-06-09,7.2,5.552946,115.0
18402,Something to Talk About,1995,1995-08-04,5.7,3.743212,60.0
9348,Species,1995,1995-07-07,5.5,13.492845,457.0
139408,The Stars Fell on Henrietta,1995,1995-09-15,6.6,0.913522,6.0
281,Strange Days,1995,1995-10-13,6.8,11.223055,334.0
5967,The Umbrellas of Cherbourg,1964,1964-02-19,7.6,8.133881,119.0
79593,The Tie That Binds,1995,1995-09-08,4.6,1.820419,9.0
47939,Three Wishes,1995,1995-10-27,6.1,11.002046,18.0
36834,Total Eclipse,1995,1995-11-02,6.5,4.546552,112.0
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,1995-09-07,6.3,7.653446,117.0
3512,Under Siege 2: Dark Territory,1995,1995-07-13,5.6,7.490247,217.0
52856,Unstrung Heroes,1995,1995-09-15,6.4,2.881689,9.0
77350,Unzipped,1995,1995-08-11,6.0,0.786023,6.0
9560,A Walk in the Clouds,1995,1995-08-11,6.5,9.715639,168.0
9804,Waterworld,1995,1995-07-28,5.9,16.885184,1017.0
31611,White Man's Burden,1995,1995-12-01,5.1,1.834099,25.0
65796,Wild Bill (1995),1995,1995-12-01,5.9,8.922139,27.0
49805,The Browning Version (1994),1994,1994-10-12,6.0,3.727644,11.0
26258,Bushwhacked,1995,1995-08-04,4.9,3.287036,29.0
50797,Burnt by the Sun,1994,1994-05-01,6.7,2.486073,35.0
19155,Before the Rain,1994,1994-06-09,7.7,3.525649,45.0
76,Before Sunrise,1995,1995-01-27,7.7,11.304979,984.0
11017,Billy Madison,1995,1995-02-10,6.2,6.638116,464.0
37141,The Babysitter,1995,1995-10-17,4.7,2.761837,27.0
9382,Boys on the Side,1995,1995-02-03,6.3,3.030309,48.0
6715,The Cure (1995),1995,1995-04-21,7.2,2.686342,58.0
18256,Castle Freak,1995,1995-08-04,5.8,2.26977,40.0
22625,Circle of Friends,1995,1995-03-16,6.5,2.605521,30.0
2292,Clerks,1994,1994-09-13,7.4,10.513367,769.0
1909,Don Juan DeMarco,1994,1994-10-01,6.3,7.438934,184.0
8984,Disclosure,1994,1994-12-09,5.9,11.812244,217.0
61813,Dream Man,1995,1995-01-01,2.5,0.155859,1.0
4954,Drop Zone,1994,1994-12-08,5.1,9.579155,91.0
62488,Destiny Turns on the Radio,1995,1995-04-28,5.3,0.710671,9.0
10531,Death and the Maiden,1994,1994-05-04,7.1,5.484156,92.0
11929,Dolores Claiborne,1995,1995-03-24,7.1,5.8025,183.0
8467,Dumb and Dumber,1994,1994-12-16,6.5,9.844558,1894.0
10451,Eat Drink Man Woman,1994,1994-08-03,7.5,4.860016,76.0
20156,Exotica,1994,1994-09-24,6.5,5.378467,64.0
18395,Exit to Eden,1994,1994-10-14,4.3,4.322726,28.0
522,Ed Wood,1994,1994-09-27,7.3,11.720358,639.0
397,French Kiss,1995,1995-05-05,6.2,9.146544,179.0
10525,Forget Paris,1995,1995-05-19,6.1,16.236745,38.0
27985,Far from Home: The Adventures of Yellow Dog,1995,1995-01-13,5.6,2.657337,27.0
15789,A Goofy Movie,1995,1995-04-07,6.7,10.177977,404.0
27303,Hideaway,1995,1995-03-03,5.0,8.182165,24.0
21183,Fluke (1995),1995,1995-06-02,6.6,4.953936,48.0
10954,Farinelli,1994,1994-12-07,5.9,8.935058,20.0
47867,Gordy,1995,1995-05-12,3.0,0.398924,4.0
43475,Gumby: The Movie,1995,1995-12-01,5.0,0.090452,2.0
72031,The Glass Shield,1994,1994-09-16,5.4,1.012197,9.0
14275,Hoop Dreams,1994,1994-09-12,7.7,9.47666,91.0
1024,Heavenly Creatures,1994,1994-09-02,6.9,9.438042,299.0
17207,Houseguest,1995,1995-01-06,6.0,2.688562,17.0
13701,Immortal Beloved,1994,1994-12-16,6.9,7.983666,90.0
14819,Heavyweights (1995),1995,1995-02-17,6.0,9.546707,97.0
32631,The Hunted (1995),1995,1995-02-24,6.0,2.756986,25.0
11777,I.Q.,1994,1994-12-24,5.9,5.146352,112.0
628,Interview with the Vampire,1994,1994-11-11,7.2,11.970205,1558.0
87729,Jefferson in Paris,1995,1995-03-31,5.2,1.596058,10.0
18713,The Jerky Boys,1995,1995-02-03,4.8,0.748846,10.0
6280,Junior (1994),1994,1994-11-22,4.7,6.710215,381.0
9061,Just Cause,1995,1995-02-17,6.0,9.195256,124.0
37108,A Kid in King Arthur's Court,1995,1995-08-11,4.3,5.874511,40.0
6071,Kiss of Death (1995),1995,1995-04-21,5.7,7.797512,83.0
11,Star Wars,1977,1977-05-25,8.1,42.149697,6778.0
9587,Little Women (1994),1994,1994-12-21,7.0,9.774994,222.0
19101,A Little Princess (1995),1995,1995-05-10,7.4,7.731725,207.0
49980,Ladybird Ladybird,1994,1994-02-18,7.4,0.84508,14.0
17961,L'Enfer,1994,1994-02-16,6.6,1.948315,22.0
18183,Like Water for Chocolate,1992,1992-04-16,6.6,4.126083,70.0
4476,Legends of the Fall,1994,1994-12-16,7.2,12.199047,636.0
11008,Major Payne,1995,1995-03-24,6.1,9.253362,164.0
47504,Little Odessa,1994,1994-10-27,6.4,1.861292,31.0
32325,Mi Vida Loca,1994,1994-06-08,5.7,1.788829,9.0
43742,Love Affair (1994),1994,1994-10-21,4.3,3.290192,11.0
28313,Losing Isaiah,1995,1995-03-17,6.4,7.698526,28.0
11318,The Madness of King George,1994,1994-12-28,6.7,4.81307,67.0
3036,Mary Shelley's Frankenstein,1994,1994-11-04,6.1,14.287753,272.0
40490,Man of the House (1995),1995,1995-03-03,5.1,2.558118,40.0
24070,Mixed Nuts,1994,1994-12-21,5.2,2.899608,37.0
8986,Milk Money,1994,1994-08-31,5.6,3.770115,49.0
10510,Miracle on 34th Street (1994),1994,1994-11-18,6.4,5.831622,199.0
17402,Miami Rhapsody,1995,1995-01-27,5.6,1.137266,7.0
38722,My Family,1995,1995-05-03,7.0,3.121288,11.0
8438,Murder in the First,1995,1995-01-20,6.9,9.518564,140.0
11593,Nobody's Fool (1994),1994,1994-12-23,7.0,2.891269,56.0
1945,Nell,1994,1994-12-23,6.1,5.930957,128.0
39310,New Jersey Drive,1995,1995-04-19,6.9,0.629955,7.0
109560,New York Cop,1993,1993-08-14,0.0,0.004537,0.0
56428,Beyond Bedlam,1994,1994-04-22,4.0,0.426952,4.0
63105,Nemesis 2 - Nebula,1995,1995-09-26,4.6,1.466491,10.0
131957,Nina Takes a Lover,1995,1995-03-03,7.4,0.769522,4.0
241,Natural Born Killers,1994,1994-08-25,6.9,11.226856,927.0
9058,Only You,1994,1994-09-17,6.4,4.936761,92.0
527,Once Were Warriors,1994,1994-09-02,7.6,4.025276,106.0
18220,Poison Ivy II: Lily,1996,1996-01-16,4.6,6.448039,32.0
6950,Outbreak,1995,1995-03-10,6.4,13.676444,522.0
101,Leon: The Professional,1994,1994-09-14,8.2,20.477329,4293.0
63020,The Perez Family,1995,1995-05-12,6.6,1.433544,9.0
2307,A Pyromaniac's Love Story,1995,1995-04-28,7.0,0.463307,2.0
680,Pulp Fiction,1994,1994-09-10,8.3,140.950236,8670.0
41478,Panther,1995,1995-11-10,6.4,7.160149,6.0
25296,Pushing Hands,1992,1992-02-01,6.1,1.638622,9.0
40156,Priest (1994),1994,1994-01-01,6.4,1.881932,32.0
11450,Quiz Show,1994,1994-09-16,7.1,7.772505,262.0
30304,Picture Bride,1995,1995-05-05,7.4,1.296912,5.0
10452,Queen Margot,1994,1994-05-13,7.0,4.405405,67.0
12106,The Quick and the Dead (1995),1995,1995-02-09,6.2,7.54701,431.0
161495,Roommates,1995,1995-03-01,6.4,3.395867,7.0
3586,Prêt-à-Porter,1994,1994-12-23,5.3,6.259433,33.0
110,Three Colors: Red,1994,1994-05-27,7.8,7.832755,246.0
108,Three Colors: Blue,1993,1993-01-10,7.7,8.843517,311.0
109,Three Colors: White,1994,1994-01-26,7.3,6.5898,218.0
159185,"Red Firecracker, Green Firecracker",1994,1994-10-14,7.0,0.078257,2.0
36357,Rent-a-Kid,1995,1995-01-01,5.1,1.155255,15.0
92769,Relative Fear,1995,1995-10-03,4.7,0.499601,3.0
28033,Stuart Saves His Family,1995,1995-04-12,5.0,1.390885,6.0
22586,The Swan Princess,1994,1994-11-18,6.5,8.910462,251.0
14334,The Secret of Roan Inish,1994,1994-01-01,6.1,1.750481,15.0
2636,The Specialist,1994,1994-10-07,5.5,10.388183,317.0
2164,Stargate,1994,1994-10-27,6.8,13.328924,942.0
11395,The Santa Clause,1994,1994-11-10,6.3,9.665424,501.0
278,The Shawshank Redemption,1994,1994-09-23,8.5,51.645403,8358.0
9905,Shallow Grave,1994,1994-12-22,7.0,8.223026,247.0
87078,Suture,1993,1993-09-14,6.0,1.298224,7.0
12527,Strawberry and Chocolate,1993,1993-01-01,7.1,1.777197,16.0
20306,Swimming with Sharks,1994,1994-09-10,6.7,5.869261,104.0
36614,The Sum of Us,1994,1994-07-12,6.0,1.407427,21.0
27993,Senior Trip,1995,1995-09-08,5.7,5.05806,23.0
31439,To Live,1994,1994-06-30,7.7,5.260627,62.0
9067,Tank Girl,1995,1995-03-31,5.5,7.602087,140.0
9059,Tales from the Crypt: Demon Knight,1995,1995-01-13,6.7,9.455342,96.0
193,Star Trek: Generations,1994,1994-11-17,6.4,8.105708,461.0
25066,Tales from the Hood,1995,1995-05-24,5.4,2.86007,33.0
46797,Tom & Viv,1994,1994-04-15,5.8,0.704204,8.0
12122,Village of the Damned (1995),1995,1995-04-28,5.6,6.529879,165.0
11381,Tommy Boy,1995,1995-03-31,6.8,11.971318,321.0
32636,Vanya on 42nd Street,1994,1994-09-13,6.1,7.039846,15.0
36141,The Underneath (1995),1995,1995-04-28,5.6,2.059771,15.0
95963,The Walking Dead (1995),1995,1995-02-24,6.6,0.620873,4.0
1587,What's Eating Gilbert Grape,1993,1993-12-17,7.5,10.3919,943.0
9271,Virtuosity,1995,1995-08-04,5.4,5.188399,163.0
2064,While You Were Sleeping,1995,1995-04-21,6.5,15.783615,340.0
19855,The War (1994),1994,1994-11-04,6.3,3.908596,39.0
60855,Double Happiness,1994,1994-09-07,5.5,0.372239,2.0
236,Muriel's Wedding,1994,1994-09-29,6.9,5.254847,104.0
48287,The Baby-Sitters Club,1995,1995-08-18,5.3,2.15805,23.0
3049,Ace Ventura: Pet Detective,1994,1994-02-04,6.4,11.247957,1684.0
2759,"The Adventures of Priscilla, Queen of the Desert",1994,1994-05-31,7.2,8.328596,174.0
12635,Backbeat,1994,1994-04-01,6.2,2.487951,37.0
10497,Bitter Moon,1992,1992-09-02,7.0,11.298195,115.0
11382,Bullets Over Broadway,1994,1994-10-14,7.0,5.72288,130.0
9331,Clear and Present Danger,1994,1994-08-03,6.4,7.513245,390.0
10731,The Client (1994),1994,1994-07-20,6.4,15.263829,287.0
10464,"Corrina, Corrina",1994,1994-08-12,6.4,6.924689,83.0
34152,Crooklyn,1994,1994-05-13,6.7,2.533022,31.0
9495,The Crow,1994,1994-05-11,7.3,15.799336,980.0
29973,Cobb,1994,1994-12-02,6.1,2.583363,29.0
888,The Flintstones,1994,1994-05-26,5.0,15.019586,559.0
13,Forrest Gump,1994,1994-07-06,8.2,48.307194,8147.0
712,Four Weddings and a Funeral,1994,1994-03-09,6.6,8.990345,654.0
16295,Higher Learning,1995,1995-01-11,6.4,7.817811,49.0
48992,I Like It Like That,1994,1994-10-14,6.3,0.289295,4.0
10879,I Love Trouble (1994),1994,1994-06-29,5.3,3.570874,41.0
10660,It Could Happen to You,1994,1994-07-29,6.1,11.272073,154.0
10714,The Jungle Book (1994),1994,1994-12-23,5.9,10.714235,107.0
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,1993-09-11,7.3,0.568884,5.0
8587,The Lion King,1994,1994-06-23,8.0,21.605761,5520.0
1689,Little Buddha,1993,1993-12-01,6.0,5.681522,76.0
11596,New Nightmare,1994,1994-10-13,6.4,9.860522,297.0
854,The Mask (1994),1994,1994-07-29,6.6,14.13488,2550.0
9359,Maverick,1994,1994-05-20,6.6,15.050326,490.0
23333,Mrs. Parker and the Vicious Circle,1994,1994-09-07,6.3,4.739054,20.0
36593,The Naked Gun 33⅓: The Final Insult,1994,1994-03-18,6.4,10.587232,535.0
12280,The Paper,1994,1994-03-18,6.1,4.006063,40.0
2788,Reality Bites,1994,1994-02-18,6.5,6.514592,180.0
10427,Red Rock West,1993,1993-07-08,6.4,5.137903,71.0
11011,Ri¢hie Ri¢h,1994,1994-12-19,5.4,6.595255,426.0
49803,Safe Passage,1994,1994-12-01,4.9,4.931565,7.0
8987,The River Wild,1994,1994-09-30,6.1,10.511241,214.0
1637,Speed,1994,1994-06-09,6.8,10.859292,1814.0
15128,Speechless,1994,1994-12-16,5.5,2.334226,24.0
8831,Timecop,1994,1994-09-15,5.5,8.907074,288.0
36955,True Lies,1994,1994-07-14,6.8,11.396099,1138.0
10449,When a Man Loves a Woman,1994,1994-04-29,6.0,4.322544,71.0
10395,Wolf (1994),1994,1994-06-17,6.0,14.063845,221.0
12160,Wyatt Earp,1994,1994-06-24,6.5,9.277147,203.0
40480,Bad Company (1995),1995,1995-01-20,4.9,0.912415,12.0
52038,A Man of No Importance,1994,1994-12-22,6.5,0.406113,2.0
29444,S.F.W.,1994,1994-09-15,6.1,2.504529,22.0
26352,A Low Down Dirty Shame,1994,1994-11-23,6.0,3.021526,31.0
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,1994-09-30,2.0,0.054148,1.0
41580,Colonel Chabert,1994,1994-01-01,5.9,0.934312,9.0
315,"Faster, Pussycat! Kill! Kill!",1965,1965-08-06,6.5,4.220541,59.0
22067,Jason's Lyric,1994,1994-09-28,5.9,0.912909,9.0
18242,The Secret Adventures of Tom Thumb,1993,1993-12-10,7.1,0.381704,8.0
11667,Street Fighter,1994,1994-12-22,4.1,13.58449,330.0
32502,Coldblooded,1995,1995-09-15,6.7,2.342756,13.0
267188,Desert Winds,1997,1997-12-31,0.0,0.251223,0.0
28732,Fall Time,1995,1995-05-13,6.3,1.108494,6.0
75555,The Fear,1995,1995-01-20,3.4,0.268043,7.0
42981,Frank and Ollie,1995,1995-10-20,7.5,0.142357,4.0
278939,Girl in the Cadillac,1995,1995-10-24,10.0,0.405392,1.0
291731,Homage,1995,1995-05-03,0.0,0.014925,0.0
226229,Mirage (1995),1995,1995-11-21,4.0,0.302957,1.0
203119,Open Season (1996),1996,1996-05-03,0.0,0.012456,0.0
172923,Dos Crímenes,1995,1995-05-26,5.0,0.233376,1.0
